dataset,a,b,vocab_size,delta,abs_delta,arr_dist,gc_dist,kmer_dist
jores,jores_24389,jores_65943,2,2.37112200726549,2.37112200726549,0.55,0.16470588235294115,1.3053892215568865
jores,jores_51476,jores_61033,2,-1.0763532520260801,1.0763532520260801,1.0,0.08823529411764702,1.3772455089820361
jores,jores_51476,jores_62268,2,-0.15616391395623985,0.15616391395623985,0.7399999999999999,0.10000000000000003,1.4371257485029942
jores,jores_51476,jores_62274,2,-2.1939808137750503,2.1939808137750503,0.4033333333333333,0.10000000000000003,1.4251497005988023
jores,jores_51476,jores_65943,2,-0.93901860427848,0.93901860427848,0.6666666666666666,0.12941176470588228,1.2934131736526948
jores,jores_61033,jores_62268,2,0.9201893380698403,0.9201893380698403,0.2866666666666667,0.01176470588235301,1.18562874251497
jores,jores_61033,jores_62274,2,-1.1176275617489702,1.1176275617489702,0.6233333333333334,0.01176470588235301,1.1616766467065869
jores,jores_61033,jores_65943,2,0.13733464774760007,0.13733464774760007,0.35333333333333333,0.04117647058823526,1.281437125748503
jores,jores_62268,jores_62274,2,-2.0378168998188104,2.0378168998188104,0.38999999999999996,0.0,1.2694610778443114
jores,jores_62268,jores_65943,2,-0.7828546903222402,0.7828546903222402,0.6,0.02941176470588225,1.4131736526946108
jores,jores_62274,jores_65943,2,1.2549622094965702,1.2549622094965702,0.9366666666666666,0.02941176470588225,1.281437125748503
jores,jores_24397,jores_28309,3,-0.16325563489673023,0.16325563489673023,0.8888888888888888,0.041176470588235314,1.1976047904191618
jores,jores_24397,jores_51997,3,0.6749115582885499,0.6749115582885499,0.5044444444444444,0.035294117647058865,1.2934131736526946
jores,jores_28309,jores_51997,3,0.8381671931852801,0.8381671931852801,0.6666666666666666,0.00588235294117645,1.353293413173653
jores,jores_24407,jores_4779,2,3.37488286641212,3.37488286641212,0.35000000000000003,0.11176470588235293,1.2095808383233533
jores,jores_24407,jores_48299,2,4.05469363035809,4.05469363035809,0.11333333333333336,0.00588235294117645,1.0538922155688621
jores,jores_24407,jores_5345,2,2.6141700949136197,2.6141700949136197,0.5833333333333334,0.10588235294117643,1.2215568862275448
jores,jores_4779,jores_48299,2,0.6798107639459698,0.6798107639459698,0.43,0.10588235294117648,1.1497005988023952
jores,jores_4779,jores_5345,2,-0.7607127714985003,0.7607127714985003,0.2333333333333333,0.005882352941176505,0.9940119760479041
jores,jores_48299,jores_5345,2,-1.44052353544447,1.44052353544447,0.47,0.09999999999999998,1.2934131736526946
jores,jores_24938,jores_62626,6,1.9501546429297099,1.9501546429297099,0.7044444444444444,0.1294117647058824,1.3413173652694612
jores,jores_25783,jores_30391,5,-0.33178616770876035,0.33178616770876035,0.1466666666666667,0.05882352941176472,1.2455089820359282
jores,jores_25863,jores_59308,16,1.4235309459275,1.4235309459275,0.7916666666666666,0.08823529411764713,1.281437125748503
